name,lastname,gender,ethnicity,language,month,day,year
Carla,Jackson,female,African_American,french,July,14,1981
Andy,Walker,male,White,other,February,6,1955
Andy,Curry,female,Other,other,January,5,1952
Matthew,Smith,male,Other,spanish,December,26,1971
Alex,Casey,female,White,other,October,10,1970
James,Moore,male,Other,english,September,7,1952
Natalie,Franklin,female,Other,english,October,6,1993
Madison,Marshall,female,African_American,french,May,17,1993
Riley,Curry,female,Other,french,February,31,1987
Carl,Marshall,male,White,english,September,14,1957
Gael,Marshall,male,Other,french,February,18,1967
Alexandra,Clark,female,White,french,February,11,1973
Andy,Wang,female,Other,other,February,29,1991
Diana,White,male,Other,english,April,20,1982
Khalil,Carter,male,White,other,October,18,1957
Riley,Morrow,male,Other,english,January,7,1953
Brian,Jones,male,White,english,May,19,1995
Carol,Walter,female,Hispanic,spanish,January,14,1987
Kevin,Franklin,male,African_American,english,February,17,1968
Gael,Phillips,male,Other,english,November,30,1961
Alex,Lewis,male,Hispanic,spanish,January,12,1983
Jacky,Butler,female,White,english,December,14,1992
Hunter,Phillips,female,African_American,other,April,3,1983
Hannah,White,female,White,french,March,13,1963
Joseph,Walker,male,White,other,March,1,1955
George,Thomas,male,Other,spanish,July,30,1950
Jacky,Dick,female,White,other,March,23,1977
Brett,Marshall,male,African_American,other,December,11,1989
Nicole,Curry,female,White,english,January,19,1970
James,Gardner,male,African_American,english,November,8,1991
Blake,Wang,female,White,french,March,8,1972
Alex,Lewis,female,White,other,June,27,1961
Blake,Dotts,female,Hispanic,spanish,August,29,1986
Enrique,Anthony,male,Other,english,March,19,1953
Don,Walker,male,White,english,March,30,1972
Paola,Smith,female,White,french,April,16,1995
Travis,Taylor,,White,english,November,11,1956
Diana,Young,female,White,other,August,14,1978
George,Curry,male,Other,spanish,July,30,1997
Emily,Adams,female,Hispanic,spanish,June,4,1963
Sheila,Swift,female,Other,spanish,February,5,1968
Gracie,Clark,female,Other,other,September,23,1981
Blake,Harris,female,Other,spanish,August,29,1994
Katelyn,Gardner,female,White,english,April,6,1960
Stacey,Dotts,female,White,french,May,11,1961
Alex,Marshall,male,White,french,November,12,1959
Katelyn,Wilson,female,African_American,french,July,28,1980
Bridget,Walsh,female,Other,french,January,17,1951
Eva,Miller,female,Other,other,December,8,1992
Andy,Anthony,female,African_American,french,May,16,1984
Riley,Scott,male,Other,english,April,8,1986
Tyler,Scott,male,Hispanic,english,May,20,1961
Andy,Jackson,female,African_American,english,August,14,1958
Andy,Curry,female,African_American,english,January,5,1988
Madison,Walker,female,White,english,May,1,1966
Kevin,Casey,male,White,other,August,16,1970
Alexis,Casey,female,African_American,french,April,16,1972
Alex,Dick,male,White,english,July,14,1965
Blake,Walter,female,Other,other,March,16,1989
Alexis,Walker,female,African_American,english,April,16,1956
Diana,Brooks,female,Other,english,August,7,1959
Carol,Smith,female,African_American,other,January,14,1959
George,Swift,male,White,english,July,30,1986
Valerie,Casey,female,African_American,french,October,14,1972
April,Davis,female,White,other,January,15,1962
Charles,Curry,female,African_American,english,April,24,1980
Hannah,Dotts,female,White,english,July,5,1986
Brandon,Walker,male,Hispanic,spanish,May,26,1950
Katelyn,Walker,female,African_American,french,July,28,1967
John,Tyler,male,White,english,November,4,1950
Hunter,Tyler,female,Hispanic,spanish,March,4,1958
Alexis,Douglas,female,White,french,February,4,1951
Hunter,White,male,White,english,May,6,1982
Franklin,Martin,male,Hispanic,spanish,September,31,1969
John,Walsh,female,African_American,spanish,April,31,1950
Blake,Morrow,female,Hispanic,spanish,December,24,1993
Blake,Young,male,White,other,April,31,1987
